seed,dataset,model,query_id,latency_ms,metric_name,metric_value,backend
11,synthetic_research_collection,hybrid,s11_q006,104.293,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q007,59.92,ndcg@3,0.2346,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q007,59.92,ndcg@3,0.2346,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q007,59.92,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,hybrid,s11_q007,59.92,ndcg@3,0.2346,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q008,52.61,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q008,52.61,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q008,52.61,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,hybrid,s11_q008,52.61,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q009,54.137,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q009,54.137,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q009,54.137,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q009,54.137,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q010,52.872,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q010,52.872,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q010,52.872,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q010,52.872,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q011,53.718,ndcg@3,0.2346,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q011,53.718,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q011,53.718,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q011,53.718,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q012,53.312,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q012,53.312,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q012,53.312,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q012,53.312,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q013,53.361,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q013,53.361,ndcg@3,0.0,cross_encoder
